Geneid,Chr,Start,End,Strand,Length,Female_1,Female_2,Female_3,Female_4,Labium_1,Labium_2,Labium_3 ,Labium_4,Male_1,Male_2,Male_3 ,Male_4 ,MH_12 
gene12,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,198560;198865;201654;204146;205247;205384;206208;206656;207035,198649;198907;201742;205077;205325;206147;206591;206970;208090,+;+;+;+;+;+;+;+;+,3752,56,0,0,0,3062,2883,3902,4440,0,0,0,0,0
gene13,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,219676;220128;221164;221546;224908,220065;220805;221465;221768;225089,-;-;-;-;-,1775,4712,4613,6771,6427,1067,1318,1760,2116,2773,0,3079,0,855
gene14,NC_035107.1;NC_035107.1;NC_035107.1,229585;229801;240093,229736;230319;240708,+;+;+,1287,0,0,0,0,0,22,9,24,0,0,257,0,0
gene15,NC_035107.1;NC_035107.1,242405;244002,243809;244145,-;-,1549,15757,11077,21846,15308,12506,14161,9964,14490,1570,12266,11702,12748,13144
gene16,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,262326;262650;263758;264009;287462,262572;262761;263951;264189;287876,+;+;+;+;+,1149,4135,1823,47,4986,2276,2319,1639,2193,114,0,1464,4148,2092
gene17,NC_035107.1;NC_035107.1;NC_035107.1,287836;288269;288457,288210;288396;289376,-;-;-,1423,0,0,0,0,18,26,9,3,0,0,0,0,0
gene18,NC_035107.1,298982,299054,+,73,0,0,0,0,0,0,0,0,0,0,0,0,0
gene19,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,300282;301291;301497;302799;303161;303887;327116;335119;363098;363935;372125,301231;301434;302734;302991;303821;304026;327397;335278;363130;363999;372824,-;-;-;-;-;-;-;-;-;-;-,4566,1035,1556,2300,968,3184,2446,3008,3946,563,4732,1154,27,190
gene20,NC_035107.1;NC_035107.1;NC_035107.1,423991;437444;437656,424756;437598;437892,+;+;+,1158,0,0,0,0,4,8,4,16,0,0,0,0,0
gene21,NC_035107.1;NC_035107.1,437835;439166,439097;439364,-;-,1462,0,1143,298,346,360,288,443,299,863,0,72,9,0
gene22,NC_035107.1;NC_035107.1;NC_035107.1,453067;454914;455092,454849;455036;455570,-;-;-,2385,9904,7090,6814,7168,1498,2104,2206,2808,2492,0,1549,0,9464
gene23,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,468344;468561;473532;474530;475033,468504;468711;474331;474950;475239,+;+;+;+;+,1740,3520,6204,2774,1963,1849,2265,1621,2561,2355,809,2627,645,4240
gene24,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,475224;475565;475790;475987;477931;478143;479243;522310;524523;567100,475509;475721;475919;476070;478088;479034;479323;522576;524672;568149,-;-;-;-;-;-;-;-;-;-,3255,24244,17610,19998,25945,2533,3297,2760,3305,0,661,1557,4784,15892
gene25,NC_035107.1;NC_035107.1,525791;526825,526720;527327,+;+,1433,143,0,0,0,67,139,93,126,0,0,0,14,0
gene26,NC_035107.1;NC_035107.1,548395;548657,548589;549160,-;-,699,0,0,0,0,0,0,0,0,0,0,0,0,0
gene27,NC_035107.1;NC_035107.1,579677;584522,580064;585814,+;+,1681,0,0,0,0,0,0,0,0,0,0,0,0,0
gene28,NC_035107.1;NC_035107.1,586088;587131,586907;587512,+;+,1202,1,0,0,0,2,9,0,12,0,0,0,0,0
gene29,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,644419;688241;700548;709838;734210;754252;754727,645266;688379;700659;710044;734537;754463;756473,+;+;+;+;+;+;+,3593,1,1,1655,0,0,112,12,18,0,0,0,0,0
gene30,NC_035107.1;NC_035107.1,745283;745555,745487;745634,-;-,285,0,0,0,0,0,8,0,3,0,0,0,0,0
gene31,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,778190;788735;854492;875234;953978;1034353;1128522,779686;788855;854712;876286;954009;1034410;1129324,-;-;-;-;-;-;-,3785,681,0,328,113,3455,3807,2942,4090,0,0,744,0,0
gene32,NC_035107.1;NC_035107.1;NC_035107.1,1200812;1201118;1201450,1201058;1201394;1201945,-;-;-,1020,2564,1183,2395,2653,975,718,1203,800,1761,1514,816,2794,0
gene33,NC_035107.1;NC_035107.1,1206864;1207993,1206948;1208038,+;+,131,0,0,0,0,0,0,0,0,0,0,0,0,0
gene34,NC_035107.1;NC_035107.1;NC_035107.1,1208838;1209121;1210163,1209027;1209447;1210575,+;+;+,930,1874,1294,3400,2694,1083,1151,849,739,0,0,1115,297,4871
gene35,NC_035107.1;NC_035107.1;NC_035107.1,1210559;1220700;1239260,1210911;1220808;1239391,-;-;-,594,47,463,0,0,138,120,120,86,0,1,0,0,959
gene36,NC_035107.1,1220895,1222654,-,1760,31085,19985,19850,21328,32532,35183,37539,37155,307,10319,8708,6734,18222
gene37,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,1239483;1239718;1241352;1258745;1258978,1239657;1241295;1241431;1258910;1259175,+;+;+;+;+,2197,478,691,2723,0,755,799,730,393,0,0,524,311,2530
gene38,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,1252845;1259135;1271737;1272911,1252993;1261080;1272809;1273086,-;-;-;-,3344,3525,1674,1064,174,1297,1225,992,1317,0,0,1088,4,204
gene39,NC_035107.1;NC_035107.1,1278998;1279401,1279330;1279475,-;-,408,0,0,0,0,11,0,0,0,0,0,0,0,0
gene40,NC_035107.1;NC_035107.1;NC_035107.1,1279569;1279838;1280106,1279770;1280047;1280271,+;+;+,578,3348,6374,4139,3111,2143,1952,1914,1759,5051,6096,3071,0,6256
gene41,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,1288799;1318552;1336781;1337306;1338658;1338937;1351790;1352057,1289318;1318783;1337249;1337488;1338858;1339032;1351993;1352325,+;+;+;+;+;+;+;+,2174,133,33,0,0,3251,3068,2722,4194,0,0,0,0,0
gene42,NC_035107.1;NC_035107.1,1293216;1301344,1293809;1301806,-;-,1057,3042,2513,1106,2689,1168,1352,1004,1008,0,331,1467,358,3822
gene43,NC_035107.1;NC_035107.1;NC_035107.1,1352274;1353815;1354092,1352774;1354044;1354250,-;-;-,890,2840,3358,4394,919,2446,2188,2500,2300,0,52,998,227,4462
gene44,NC_035107.1;NC_035107.1;NC_035107.1,1363446;1386148;1386415,1363866;1386318;1386713,+;+;+,891,703,1077,1511,1519,765,994,848,986,0,0,675,3031,683
gene45,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,1569995;1828722;1944241;1947495;1986160,1570040;1828786;1945724;1948835;1988248,+;+;+;+;+,5025,605,2319,910,2120,2186,2128,1822,2229,204,2329,3405,8315,5171
gene46,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,2260294;2324515;2499855;3011764;3022732;3022935;3023433,2260564;2324652;2500396;3011902;3022835;3023193;3023816,+;+;+;+;+;+;+,1837,296,120,0,19,457,225,272,313,27,451,23,2932,44
gene47,NC_035107.1,2473356,2473427,-,72,0,0,0,0,0,0,0,0,0,0,0,0,0
gene48,NC_035107.1;NC_035107.1,3007105;3007271,3007189;3008133,-;-,948,251,0,0,0,13,0,0,0,0,0,0,0,0
gene49,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3043323;3043931;3044249;3044472;3044916;3045081;3045384;3046046;3046803;3070827,3043868;3044194;3044406;3044675;3045020;3045328;3045988;3046326;3047296;3071456,-;-;-;-;-;-;-;-;-;-,3535,375,0,937,815,167,352,348,397,0,0,24,0,34
gene50,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3079621;3080066;3080290;3080489;3080757,3080005;3080228;3080428;3080695;3081063,-;-;-;-;-,1201,824,0,1457,1029,389,376,391,341,0,0,0,48,0
gene51,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3095584;3096111;3096298;3108249,3095903;3096228;3097212;3109987,+;+;+;+,3092,0,0,0,0,170,281,105,195,0,0,0,0,0
gene52,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3119170;3120326;3134863;3150463;3201068,3120117;3120362;3136434;3150607;3202197,-;-;-;-;-,3832,3293,1736,4924,3175,3336,3410,3106,3940,3673,1504,3831,358,3800
gene53,NC_035107.1;NC_035107.1;NC_035107.1,3202829;3203130;3203552,3203072;3203454;3203593,+;+;+,611,272,234,173,443,264,204,122,210,0,0,383,515,349
gene54,NC_035107.1;NC_035107.1,3210543;3211081,3211017;3211340,-;-,735,60,316,145,264,92,83,63,104,159,40,220,101,509
gene55,NC_035107.1;NC_035107.1;NC_035107.1,3211626;3212057;3217304,3211831;3212301;3217698,+;+;+,846,15505,14869,15558,15422,10047,8753,7816,6258,17311,25023,13940,22236,19931
gene56,NC_035107.1;NC_035107.1;NC_035107.1,3217571;3228219;3229487,3218066;3229426;3229742,-;-;-,1960,1932,1056,1707,1375,1847,2247,1957,3055,322,0,2,218,1008
gene57,NC_035107.1;NC_035107.1,3238013;3238244,3238159;3238327,+;+,231,0,0,0,0,0,0,0,0,0,0,0,0,0
gene58,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3249057;3260034;3260274;3260460;3266367,3249776;3260201;3260387;3260578;3267668,+;+;+;+;+,2423,3594,4961,7374,3986,3561,3249,3650,5099,441,4827,2622,12,2547
gene59,NC_035107.1;NC_035107.1;NC_035107.1,3296775;3297166;3309714,3297108;3298880;3311625,+;+;+,3961,0,0,0,1,58,96,55,30,0,0,0,0,1783
gene60,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3335070;3336839;3353649;3394137,3336773;3337443;3355208;3394804,-;-;-;-,4537,3274,3071,1381,3125,2160,2512,3241,3542,0,1,6150,4114,3386
gene61,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3401898;3407752;3407975;3429824,3402244;3407824;3408295;3430874,+;+;+;+,1792,211,0,569,976,711,1031,1176,1198,0,1433,242,40,470
gene62,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3446928;3447775;3448326;3459543;3487014,3447222;3448263;3448513;3460017;3487491,+;+;+;+;+,1925,327,1154,0,10,2698,1824,2515,2369,0,1,39,171,0
gene63,NC_035107.1;NC_035107.1,3468606;3469128,3468751;3469672,-;-,691,0,0,0,0,22,27,33,18,0,0,1,0,0
gene64,NC_035107.1;NC_035107.1,3487478;3491115,3487852;3491509,-;-,770,2663,2789,2223,1914,1603,1311,1073,1386,611,0,1016,1674,3151
gene65,NC_035107.1;NC_035107.1,3491645;3491962,3491898;3492221,+;+,514,5,50,19,38,16,24,9,23,18,0,22,15,59
gene66,NC_035107.1;NC_035107.1;NC_035107.1,3517835;3518025;3519573,3517922;3518499;3519666,-;-;-,657,21,0,0,0,7,12,16,22,0,0,0,0,0
gene67,NC_035107.1,3528753,3530230,+,1478,235,1295,0,47,431,469,283,399,0,0,233,331,1884
gene68,NC_035107.1;NC_035107.1;NC_035107.1,3530237;3531010;3531216,3530939;3531135;3531714,-;-;-,1328,14726,4957,19628,12182,4103,5109,3854,4076,0,464,3401,2541,11578
gene69,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3533300;3534379;3535108;3535598,3533728;3534621;3535524;3535956,-;-;-;-,1448,104,23,166,0,71,120,49,77,0,1,99,0,0
gene70,NC_035107.1;NC_035107.1;NC_035107.1,3558670;3567134;3572514,3560970;3567309;3572787,-;-;-,2751,135973,106967,93192,125296,152695,144053,115677,146715,60779,165085,134711,154608,165575
gene71,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3612953;3613952;3614210;3615196,3613894;3614130;3614406;3615238,-;-;-;-,1361,0,0,0,0,6,1,6,8,0,0,0,0,0
gene72,NC_035107.1;NC_035107.1,3680847;3681513,3681423;3681641,-;-,706,0,0,0,0,0,0,0,0,0,0,0,0,0
gene73,NC_035107.1;NC_035107.1;NC_035107.1,3689287;3699205;3700071,3690088;3700016;3700416,+;+;+,1960,0,0,0,0,104,158,95,47,0,0,0,0,0
gene74,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3717358;3735414;3735770;3736211;3736435,3717716;3735712;3736121;3736366;3736654,-;-;-;-;-,1386,1831,1676,60,2802,2170,1672,1522,1760,0,0,245,23,0
gene75,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3757619;3758627;3758988;3770558;3770822;3771166;3798519;3861930,3758569;3758916;3759157;3770752;3771105;3772058;3798850;3862572,-;-;-;-;-;-;-;-,3758,2697,1611,1757,568,1357,1592,1364,2208,2594,2576,1634,4214,4955
gene76,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,3876596;3877015;3877364;3877969;3899143;3899983,3876953;3877306;3877868;3878173;3899519;3900214,-;-;-;-;-;-,1969,2252,978,2110,2023,0,0,6,0,0,0,0,0,5709
gene77,NC_035107.1;NC_035107.1,3952067;3952260,3952193;3952892,+;+,760,4,74,78,0,6,23,6,0,0,293,0,0,93
gene78,NC_035107.1;NC_035107.1,4090222;4122164,4091130;4124232,+;+,2978,0,114,0,141,1,18,49,12,0,0,0,0,0
gene79,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,4146282;4146731;4147094;4148398;4148628,4146674;4147038;4148332;4148509;4148811,-;-;-;-;-,2236,1619,849,5370,1931,1968,2238,2143,2774,3806,746,1364,1033,4007
gene80,NC_035107.1;NC_035107.1,4148868;4150090,4148941;4151388,+;+,1373,2484,725,1156,1998,938,1240,1221,1148,0,716,26,755,4611
gene81,NC_035107.1;NC_035107.1,4149373;4151440,4149763;4152660,+;+,1612,841,28,319,1000,650,468,413,621,801,0,231,0,607
gene82,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,4152926;4170891;4171555;4171851;4199220,4153714;4171333;4171781;4172073;4199682,+;+;+;+;+,2145,656,0,0,140,550,671,629,1055,674,40,249,0,580
gene83,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,4199682;4200231;4200691;4201899,4200174;4200626;4201380;4202105,-;-;-;-,1786,872,1309,307,0,1375,2173,1437,1960,0,2496,299,7449,0
gene84,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,4470247;4854208;4854996;4870350;4870568;4871308;4918369;4952276;4986086,4471696;4854317;4855091;4870485;4870701;4871560;4918717;4952493;4986550,+;+;+;+;+;+;+;+;+,3211,2628,2727,2754,3738,60,82,86,165,0,0,558,503,1941
gene85,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,5223545;5241412;5242242;5242404;5242540,5224143;5241746;5242343;5242480;5243575,-;-;-;-;-,2149,691,627,1395,3,7,0,3,17,0,1143,312,0,3258
gene86,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,5428012;5428447;5429190;5454136;5454410;5484031;5484619;5514984,5428246;5428583;5429196;5454313;5454601;5484192;5484675;5515632,-;-;-;-;-;-;-;-,1617,41,515,464,480,102,144,160,141,0,0,0,0,0
gene87,NC_035107.1;NC_035107.1;NC_035107.1,5533812;5534175;5534538,5534111;5534475;5534732,-;-;-,796,2741,1820,4381,3580,1396,1573,1385,1531,0,22,2101,3370,3168
gene88,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,5535034;5549417;5562598;5613484;5613791;5623208;5623815;5637269;5656163;5665983;5675618;5675955;5676054;5694387;5694532;5694735;5694945;5695258;5695656;5695853;5696379;5708229;5708437;5708796;5714480,5535275;5549886;5562729;5613605;5613940;5623681;5623961;5637707;5656576;5666253;5675802;5675987;5676874;5694462;5694669;5694883;5695194;5695360;5695700;5695894;5696456;5708375;5708719;5708887;5717003,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,7827,6353,5420,4816,4401,4229,4384,5310,6804,195,5324,3408,1434,4175
gene89,NC_035107.1;NC_035107.1,5583964;5584300,5584234;5586046,-;-,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
gene90,NC_035107.1;NC_035107.1;NC_035107.1,5601354;5602627;5602960,5602378;5602897;5603113,-;-;-,1450,589,153,1107,0,1219,1022,1087,1133,0,0,1205,0,0
gene91,NC_035107.1;NC_035107.1,5621794;5623486,5623224;5623577,-;-,1523,0,0,0,0,24,9,27,11,0,0,0,0,0
gene92,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,5749599;5770851;5786465;5788475;5811237;5811481;5811702;5811895;5832610;5833492;5843436;6292494;6293686,5753077;5771183;5786655;5788604;5811408;5811634;5811823;5812090;5832706;5833663;5843559;6293406;6294412,-;-;-;-;-;-;-;-;-;-;-;-;-,6810,3353,1645,2211,2232,542,961,1200,1259,3,1090,848,963,2228
gene93,NC_035107.1;NC_035107.1,5968195;5968410,5968337;5968699,-;-,433,110,0,0,0,0,0,0,0,0,0,0,0,0
gene94,NC_035107.1;NC_035107.1,6332092;6350323,6332203;6350383,-;-,173,0,0,0,0,0,0,0,0,0,0,0,0,0
gene95,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,6512316;6536692;6537020;6537405;6546281,6512430;6536881;6537249;6538161;6546660,+;+;+;+;+,1672,3026,4444,1331,7215,1592,1427,1359,1550,2174,0,40,2147,0
gene96,NC_035107.1;NC_035107.1;NC_035107.1,6546795;6548327;6560469,6547776;6548372;6560757,+;+;+,1317,0,0,0,0,23,8,14,20,0,0,334,0,0
gene97,NC_035107.1;NC_035107.1;NC_035107.1,6560713;6575482;6575971,6562506;6575904;6576286,-;-;-,2533,3064,1410,1434,3630,2091,2951,2634,3685,0,1847,972,0,2616
gene98,NC_035107.1;NC_035107.1;NC_035107.1,6592041;6592761;6592874,6592593;6592810;6593668,+;+;+,1398,20301,14026,21987,18980,10762,12619,10525,12554,6283,15132,28465,35298,48274
gene99,NC_035107.1;NC_035107.1,6593630;6611685,6594120;6612875,-;-,1682,4513,3585,5380,3858,819,1004,1107,1180,0,2622,381,2062,1550
gene100,NC_035107.1;NC_035107.1;NC_035107.1,6635523;6641662;6642786,6635661;6642731;6644147,+;+;+,2571,1628,1557,2093,1539,126,142,118,127,902,538,495,429,996
gene101,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,6643895;6646239;6646524;6647341;6647819;6648282,6646181;6646464;6647285;6647761;6648211;6650088,+;+;+;+;+;+,5896,12132,15717,11468,12721,1254,1941,2653,2429,75,396,1533,3521,11807
gene102,NC_035107.1;NC_035107.1,6968697;6968869,6968795;6969206,+;+,437,0,0,0,0,0,0,0,0,0,0,0,0,0
gene103,NC_035107.1;NC_035107.1;NC_035107.1,7128424;7128602;7129458,7128539;7128627;7129713,+;+;+,398,0,0,0,0,0,0,0,0,0,0,0,0,2642
gene104,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,7501906;7502141;7502267;7502544,7502079;7502211;7502483;7502829,-;-;-;-,748,6,0,0,0,6,0,4,3,0,0,0,0,0
gene105,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,8118192;8120904;8164855;8167435;8177245;8195768;8370416,8120640;8121187;8167162;8168121;8177585;8196319;8372076,-;-;-;-;-;-;-,8282,439,0,0,0,125,97,145,116,0,0,0,0,90
gene106,NC_035107.1;NC_035107.1,8326059;8326273,8326189;8327375,+;+,1234,33,0,0,0,221,7,1,12,0,0,0,0,0
gene107,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,8348256;8348767;8349321;8351581;8352040;8352585,8348702;8349237;8349445;8351975;8352510;8352706,-;-;-;-;-;-,2031,0,0,0,115,15153,5942,4676,8284,0,0,22,0,0
gene108,NC_035107.1;NC_035107.1,8502201;8503207,8503147;8503859,-;-,1600,0,0,0,0,0,0,0,0,0,0,0,0,0
gene109,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,8532346;8563060;8581409;8581582;8597371;8612651;8612933;8613382,8532632;8563151;8581520;8581709;8597513;8612870;8613318;8613903,+;+;+;+;+;+;+;+,1890,2,1094,0,1,2805,3552,2649,5938,2073,0,2348,0,10
gene110,NC_035107.1;NC_035107.1;NC_035107.1,8638634;8638927;8639084,8638854;8639011;8639617,+;+;+,840,13204,12004,18117,13426,10457,10037,8432,8829,4285,4388,18404,13966,23917
gene111,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,8639468;8640000;8640301;8662377,8639944;8640235;8640857;8662551,-;-;-;-,1445,12,0,0,2,37588,54094,38215,52144,0,2363,3231,0,1244
gene112,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,8680738;8690301;8690717;8691365;8698413;8698667;8698910;8714547;8714960,8681345;8690472;8691167;8691861;8698596;8698848;8699330;8714892;8715411,-;-;-;-;-;-;-;-;-,3313,2895,0,2078,659,2665,2500,2225,3185,142,2432,1591,4848,4210
gene113,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,8731766;8733921;8738087;8740693;8741175;8741724;8745427,8733230;8733995;8738218;8740957;8741449;8741764;8745848,-;-;-;-;-;-;-,2675,69047,49949,56677,41143,40925,38695,36898,46647,12345,39953,34341,40700,54242
gene114,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,8762754;8773323;8773520;8778597;8778901;8801701,8763300;8773452;8775060;8778835;8779775;8803431,+;+;+;+;+;+,5063,1899,3031,902,3205,1545,2025,1632,2279,8,25,2271,2972,1726
gene115,NC_035107.1;NC_035107.1,8837370;8839778,8839586;8839823,-;-,2263,2538,107,1133,1709,748,1462,946,1056,9,28,625,623,428
gene116,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,8846508;8850458;8850783;8863643;8863885;8864234;8864997;8865289;8865501;8866820;8895629;8895855,8848827;8850718;8850894;8863827;8864171;8864935;8865218;8865437;8866818;8867457;8895774;8896540,-;-;-;-;-;-;-;-;-;-;-;-,7026,2798,1962,599,326,1333,2828,1815,2725,199,0,54,624,0
gene117,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,8905971;8906423;8906540;8912427;8922416,8906362;8906478;8906876;8912771;8923099,-;-;-;-;-,1814,6106,4066,3014,8166,5079,5504,4181,5654,848,1262,5550,6480,6572
gene118,NC_035107.1;NC_035107.1,8937657;8938236,8938177;8938895,-;-,1181,0,0,0,0,12,14,2,1,0,0,0,0,0
gene119,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,8959653;8960508;8960692;8967861;8968278;8982797;8983785,8960187;8960622;8960984;8968221;8968744;8983680;8983971,-;-;-;-;-;-;-,2842,1605,2009,1780,732,1648,1515,1452,1805,0,174,4416,1526,6598
